,num_dense_layers,num_dense_nodes,learning_rate,activation,adam_decay,mse_train,r2_train,drop_out
0,3.0,442.0,0.0017946308830754532,sigmoid,2.1895744609759047e-05,0.018671412809133554,0.9686831748553386,0.20932867980103886
0,1.0,1790.0,2.169960924864514e-05,sigmoid,5.948282275334369e-06,0.05201525983761111,0.9127568538149531,0.027651805412699404
0,2.0,124.0,0.007213718561414039,selu,1.5923303915854407e-05,0.04747410814310304,0.9203735486535314,0.3579928691987711
0,2.0,972.0,0.00014162179205304905,selu,0.005026829846692357,0.018420913630056573,0.969103327259992,0.13605154292877875
0,3.0,1932.0,0.0004437722506657335,selu,0.002047076253209163,0.019639552338093582,0.9670593525632598,0.14930567459541944
0,1.0,420.0,7.379680383866022e-06,selu,4.159041827609073e-05,0.06665623155284255,0.888200128737912,0.4324994750359439
0,2.0,1078.0,0.00010534312291256871,selu,0.0005522824298770972,0.016671877168030803,0.972036917214476,0.20537884252009286
0,2.0,1420.0,0.0007668706871234149,selu,0.0007008328965026345,0.020724596142896144,0.965239451334753,0.49837510436947224
0,2.0,958.0,0.0025506174078111107,sigmoid,4.015353315377591e-06,0.03716810843637535,0.9376593959568827,0.10206017359270259
0,1.0,382.0,0.00011456878580502037,selu,0.005443831209027479,0.01962328988334948,0.9670866289379428,0.0743192185429285
